Transaction Name,Transaction Name URL,Organization Industries,Lead Investors,Investor Names,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Type,Announced Date,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Organization Name,Organization Name URL,Organization Location,Organization Description,Organization Website,Funding Stage,Number of Funding Rounds,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Equity Only Funding,Funding Status,Number of Investors
Seed Round - Smalt,https://www.crunchbase.com/funding_round/smalt-1400-seed--879f498c,"EdTech, SaaS, Skill Assessment, Software, Training",noa,"General Catalyst, HEARTFELT, noa, Owl Ventures",8000000,EUR,8895481,Seed,2024-09-16,,,,Smalt,https://www.crunchbase.com/organization/smalt-1400,"Berlin, Berlin, Germany, Europe",Labour supply & productivity in the climate trades,https://smalt.eu,Seed,2,12100000,EUR,13387647,Yes,Seed,4
Seed Round - Ucaneo,https://www.crunchbase.com/funding_round/ucaneo-seed--2e35ce4a,"Consulting, Environmental Consulting, Service Industry","IBB Ventures, SmartEnergy Innovation Fund","Apprecia Capital, Carbon Removal Partners, IBB Ventures, Jeremy and Hannelore Grantham Environmental Trust, Jochen Engert, Nucleus Capital, Pjotr van Schothorst, Plug and Play, SmartEnergy Innovation Fund",6750000,EUR,7452453,Seed,2024-09-10,,,,Ucaneo,https://www.crunchbase.com/organization/ucaneo,"Berlin, Berlin, Germany, Europe",Ucaneo is an environmental services company that develops carbon removal technology designed to capture carbon dioxide from the air.,https://www.ucaneo.com/,Seed,4,6750000,EUR,7452453,Yes,Seed,9
Seed Round - Phlair,https://www.crunchbase.com/funding_round/carbon-atlantis-seed--e13cf5b4,"Carbon Capture, Chemical Engineering, Industrial",Extantia Capital,"Albert Wenger, Atlantic Labs, Birgit Heraeus, Counteract, Extantia Capital, Jan Rinnert, Planet A Ventures, Sebastian Herler, UnternehmerTUM Funding for Innovators, Verve Ventures",12000000,EUR,13391363,Seed,2024-09-19,,,,Phlair,https://www.crunchbase.com/organization/carbon-atlantis,"Ismaning, Bayern, Germany, Europe","Phlair develops low-cost, next generation electrochemical Direct Air Capture (DAC).",https://phlair.com/,Seed,3,14500000,EUR,16170883,Yes,Seed,10
Seed Round - BIOVOX,https://www.crunchbase.com/funding_round/biovox-seed--693b06e1,"Advanced Materials, Medical, Pharmaceutical, Sustainability",HTGF | High-Tech Gruenderfonds,"Auxxo, BM H Beteiligungs-Managementgesellschaft Hessen, HTGF | High-Tech Gruenderfonds, Katharina Klohe, Otto Braun, Petra Wörwag",2200000,EUR,2460308,Seed,2024-09-25,,,,BIOVOX,https://www.crunchbase.com/organization/biovox,"Darmstadt, Hessen, Germany, Europe","BIOVOX is the sustainable healthcare market, setting the standard for bioplastic compounds made from renewable resources.",https://www.biovox.systems/,Seed,2,2200000,EUR,2460308,Yes,Seed,6
Seed Round - Briink,https://www.crunchbase.com/funding_round/briink-seed--7bb93052,Finance,"13books Capital, EquityPitcher Ventures","13books Capital, EquityPitcher Ventures, Han Lee, Merantix Capital, Peter Gutman, Peter Rading, seed + speed Ventures",3850000,EUR,4296870,Seed,2024-09-30,,,,Briink,https://www.crunchbase.com/organization/briink,"Berlin, Berlin, Germany, Europe",Briink builds AI tools and infrastructure for sustainable finance teams,https://www.briink.com,Seed,2,3850000,EUR,4296870,Yes,Seed,7
Seed Round - Vind AI,https://www.crunchbase.com/funding_round/vind-ai-seed--e0f2dfcc,"Artificial Intelligence (AI), Energy, Real Time, Software",Norrsken VC,"Arkwright X, Norrsken VC",3000000,EUR,3312944,Seed,2024-09-11,,,,Vind AI,https://www.crunchbase.com/organization/vind-ai,"Oslo, Oslo, Norway, Europe",Vind AI plans and designs wind project software that minimizes wake losses and improves energy production and efficiency.,https://vind.ai,Seed,1,3000000,EUR,3312944,Yes,Seed,2
Seed Round - VidLab7,https://www.crunchbase.com/funding_round/vidlab7-seed--9be22f5e,"Artificial Intelligence (AI), Generative AI, Software",EQT Ventures,EQT Ventures,3500000,EUR,3893942,Seed,2024-09-17,,,,VidLab7,https://www.crunchbase.com/organization/vidlab7,"Munich, Bayern, Germany, Europe","VidLab7 is a platform focused on synthetic media, specifically tailored for revenue teams.",https://www.vidlab7.com,Seed,1,3500000,EUR,3893942,Yes,Seed,1
Seed Round - become.1,https://www.crunchbase.com/funding_round/become-1-seed--2ec0f417,"Employee Benefits, Human Resources, Insurance","D11Z.Ventures, Haufe Group Ventures, MBG Baden Wuerttemberg","D11Z.Ventures, Haufe Group Ventures, HTGF | High-Tech Gruenderfonds, Maru Winnacker, Matthias Allmendinger, MBG Baden Wuerttemberg, Michal Jarocki, Thomas Otter",3300000,EUR,3670337,Seed,2024-09-18,,,,become.1,https://www.crunchbase.com/organization/become-1,"Heidelberg, Baden-Wurttemberg, Germany, Europe",become.1 is an employee benefits platform that eliminates the complexity of tax regulations for employees.,https://www.become1.de,Seed,1,3300000,EUR,3670337,Yes,Seed,8
Seed Round - syte,https://www.crunchbase.com/funding_round/syte-seed--a8c481ec,"Artificial Intelligence (AI), CleanTech, Information Technology, Real Estate",Schwarz Group,"Fabian Axthelm, HTGF | High-Tech Gruenderfonds, Moritz Luck, Schwarz Group, Vantage Value, vent.io",5000000,EUR,5572968,Seed,2024-09-26,,,,syte,https://www.crunchbase.com/organization/syte,"Münster, Nordrhein-Westfalen, Germany, Europe","Syte offers real-time, AI-driven data and insights about plots for banks, real estate agents, project developers, planners, and authorities.",https://www.syte.ms,Seed,3,8200000,EUR,8888433,Yes,Seed,6
Seed Round - Qura,https://www.crunchbase.com/funding_round/qura-c1cc-seed--be136dd8,"Artificial Intelligence (AI), Search Engine",Cherry Ventures,Cherry Ventures,2100000,EUR,2338770,Seed,2024-09-24,,,,Qura,https://www.crunchbase.com/organization/qura-c1cc,"Stockholm, Stockholms Lan, Sweden, Europe","Qura is a AI search engine for legal data, building a sophisticated search engine to reduce the research time for lawyers.",https://www.qura.law,Seed,1,2100000,EUR,2338770,Yes,Seed,1
Seed Round - SPiNE,https://www.crunchbase.com/funding_round/spine-2245-seed--26cdaba7,"Battery, Energy","Bayern Kapital, Verbund X Ventures","Bayern Kapital, Scrape Ventures, Super Angels, Verbund X Ventures",1500000,EUR,1675371,Seed,2024-09-29,,,,SPiNE,https://www.crunchbase.com/organization/spine-2245,"Munich, Bayern, Germany, Europe","SPiNE is a startup that provides safe, clean, and inexpensive energy to all end users.",https://spine.energy,Seed,1,1500000,EUR,1675371,Yes,Seed,4
Seed Round - family.cards,https://www.crunchbase.com/funding_round/family-cards-seed--e252d6cd,"Digital Media, Information Technology",Brandenburg Kapital,"Antler, Brandenburg Kapital, OHA Osnabrück Healthcare Accelerator, The Birdhouse",1200000,EUR,1335979,Seed,2024-09-25,,,,family.cards,https://www.crunchbase.com/organization/family-cards,"Berlin, Berlin, Germany, Europe",family.cards is a barrier-free access to digital solutions for seniors that gives them access to all the tools to manage their situation.,https://www.family.cards/en,Seed,2,1300000,EUR,1435657,Yes,Seed,4
Seed Round - Root Signals,https://www.crunchbase.com/funding_round/root-signals-seed--eefcf6cf,"E-Commerce, Generative AI, Telecommunications",Angular Ventures,"Angular Ventures, Business Finland",2800000,USD,2800000,Seed,2024-09-04,,,,Root Signals,https://www.crunchbase.com/organization/root-signals,"Helsinki, Southern Finland, Finland, Europe","Root Signals control platform, teams deliver reliable, measurable and auditable LLM automations at scale.",https://www.rootsignals.ai/,Seed,1,2800000,USD,2800000,Yes,Seed,2
