Transaction Name,Transaction Name URL,Organization Industries,Lead Investors,Investor Names,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Type,Announced Date,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Organization Name,Organization Name URL,Organization Location,Organization Description,Organization Website,Funding Stage,Number of Funding Rounds,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Equity Only Funding,Funding Status,Number of Investors
Seed Round - Flagright,https://www.crunchbase.com/funding_round/flagright-seed--82849d85,"Compliance, Financial Services, FinTech, Fraud Detection, Information Technology, Risk Management, Software",Moonfire Ventures,"Charles Delingpole, Donald Bringmann, Erik Muttersbach, Four Cities Capital, Fredrik Thomassen, Kevin Costa, Louis Beryl, Moonfire Ventures, Pioneer Fund, Sundeep Ahuja, Y Combinator",2800000,USD,2800000,Seed,2022-07-07,,,,Flagright,https://www.crunchbase.com/organization/flagright,"Berlin, Berlin, Germany, Europe","AI-native AML compliance & risk management platform to monitor, screen, investigate, and report",https://flagright.com,Seed,1,2800000,USD,2800000,Yes,Seed,11
Seed Round - aboutuz,https://www.crunchbase.com/funding_round/aboutuz-seed--9c881e5a,"Apps, Lifestyle, Mobile, Social Media",FasterCapital,FasterCapital,632000,USD,632000,Seed,2022-03-01,,,,aboutuz,https://www.crunchbase.com/organization/aboutuz,"Feldkirchen, Bayern, Germany, Europe",aboutuz is the first network for users to safely share personal details (zero-party data) with brands & people.,https://www.aboutuz.com,Seed,1,632000,USD,632000,Yes,Seed,1
Seed Round - Kubermatic,https://www.crunchbase.com/funding_round/kubermatic-seed--286b6112,"Enterprise, SaaS, Software",NetApp Excellerator,NetApp Excellerator,,,,Seed,2022-04-27,,,,Kubermatic,https://www.crunchbase.com/organization/kubermatic,"Hamburg, Hamburg, Germany, Europe","Kubermatic empowers organizations worldwide to automate their Kubernetes and cloud native operations across multi-cloud, edge and on-prem.",https://www.kubermatic.com,Seed,3,8300000,USD,8300000,Yes,Seed,1
Seed Round - MYNE Homes,https://www.crunchbase.com/funding_round/myne-homes-seed--3bf4b676,"Real Estate, Real Estate Investment, Rental Property",,"Alexander Artope, Christian Gaiser, Embedded Capital, Hakan Koc, Moritz Thiele, Motive Ventures, Nils Regge, Philipp Schrempp, Ramin Niroumand, Rivus Capital, Scope Hanson, Stefan Wiskemann, The Fintech Fund, Tim Marbach, TruVenturo",23500000,EUR,23938847,Seed,2022-07-08,,,,MYNE Homes,https://www.crunchbase.com/organization/myne-homes,"Berlin, Berlin, Germany, Europe",MYNE Homes is a digital co-ownership platform for vacation properties.,https://www.myne-homes.de,Seed,4,63500000,EUR,67268844,Yes,Early Stage Venture,15
Pre Seed Round - Emulate Energy,https://www.crunchbase.com/funding_round/emulate-energy-pre-seed--71a33333,"Energy, Energy Efficiency, Software",,"AxSol, Edument, Skellefteå Kraft, Utvecklingsklustret Energi AB",21956027,SEK,2092864,Pre-Seed,2022-07-15,63892307,SEK,6090260,Emulate Energy,https://www.crunchbase.com/organization/emulate-energy,"Lund, Skane Lan, Sweden, Europe",Emulate provides SaaS for utilities to offer behind-the-meter services and optimize demand flexibility with virtual battery technology.,https://www.emulate.energy/,Seed,3,56561291,SEK,5396545,Yes,Seed,4
Seed Round - Redimi,https://www.crunchbase.com/funding_round/redimi-seed--164ebdf3,"Digital Entertainment, Digital Marketing, Retail",,"INNOPLEX, INTAKT, PUMACY",25000,EUR,28279,Seed,2022-01-05,,,,Redimi,https://www.crunchbase.com/organization/redimi,"Berlin, Berlin, Germany, Europe","The addition of digital assets to the XRP Ledger, like as gift cards, coupons, and incentive tokens.",https://redimi.net,Seed,2,128279,USD,128279,Yes,Seed,3
Pre Seed Round - mint future GmbH,https://www.crunchbase.com/funding_round/mint-future-gmbh-pre-seed--f782d5a3,"Advertising Platforms, Automotive, CleanTech, GreenTech, Renewable Energy, SaaS, Software, Sustainability, Trading Platform",TÖNNJES INTERNATIONAL GROUP GmbH,TÖNNJES INTERNATIONAL GROUP GmbH,,,,Pre-Seed,2022-02-24,,,,mint future GmbH,https://www.crunchbase.com/organization/mint-future-gmbh,"Osnabrück, Niedersachsen, Germany, Europe",Sustainable trading of CO2 emissions and related digital solutions,https://www.wirkaufendeinethg.de,Seed,2,,,,Yes,Seed,1
Seed Round - Carbon Crusher,https://www.crunchbase.com/funding_round/carbon-crusher-seed--069577f7,"Civil Engineering, Construction, Pollution Control",,"Acequia Capital (AceCap), Gaingels, Kayak Ventures, Lionheart Ventures, Y Combinator",,,,Seed,2022-06-09,,,,Carbon Crusher,https://www.crunchbase.com/organization/carbon-crusher,"Oslo, Oslo, Norway, Europe",Carbon Crusher offers carbon crushing as a service to public or private road owner or contractor.,https://www.carboncrusher.io/,Seed,1,,,,Yes,Seed,5
Seed Round - Stackable,https://www.crunchbase.com/funding_round/stackable-5452-seed--120816f3,"Consulting, Data Management, Information Services, Information Technology",,thinQbate,,,,Seed,2022-01-01,,,,Stackable,https://www.crunchbase.com/organization/stackable-5452,"Wedel, Niedersachsen, Germany, Europe",Stackable is an IT firm that specializes in handling big data that creates transparent products to support companies.,https://stackable.tech/en/,Seed,1,,,,Yes,Seed,1
Pre Seed Round - DigiProc,https://www.crunchbase.com/funding_round/digiproc-pre-seed--a81ba619,"Analytics, Software, Supply Chain Management",,Antler,,,,Pre-Seed,2022-01-01,,,,DigiProc,https://www.crunchbase.com/organization/digiproc,"Stockholm, Stockholms Lan, Sweden, Europe",DigiProc enables companies to comprehensively manage their entire supplier base.,https://www2.digiproc.com/,Seed,1,,,,Yes,Seed,1
Seed Round - 12iD,https://www.crunchbase.com/funding_round/prove-1482-seed--4d580efa,"Identity Management, Information Technology, Internet, Software",MobilityXlab,MobilityXlab,,,,Seed,2022-01-31,,,,12iD,https://www.crunchbase.com/organization/prove-1482,"Stockholm, Stockholms Lan, Sweden, Europe",12iD provides a solution to issue digital identities and to identify users remotely.,https://12id.com,Seed,2,569139,USD,569139,Yes,Seed,1
Pre Seed Round - Pina Earth,https://www.crunchbase.com/funding_round/pina-earth-pre-seed--30d5adbd,"Forestry, Sustainability",Y Combinator,Y Combinator,500000,USD,500000,Pre-Seed,2022-03-29,,,,Pina Earth,https://www.crunchbase.com/organization/pina-earth,"Starnberg, Bayern, Germany, Europe",Pina Earth is a climate tech startup unlocking carbon markets for European forest owners.,https://pina.earth/,Seed,2,3000000,USD,3000000,Yes,Seed,1
Pre Seed Round - Lendorse,https://www.crunchbase.com/funding_round/lendorse-pre-seed--65ff5b01,"EdTech, FinTech, Social Impact",ABN AMRO + Techstars Future of Finance Accelerator,ABN AMRO + Techstars Future of Finance Accelerator,20000,USD,20000,Pre-Seed,2022-01-01,,,,Lendorse,https://www.crunchbase.com/organization/lendorse,"Munich, Bayern, Germany, Europe","B2B2C Fintech, Social Impact, Increasing access to education through ""study now, pay later"" agreements.",https://lendorse.com/,Seed,4,11718602,USD,11718602,Yes,Seed,1
Seed Round - Altavo,https://www.crunchbase.com/funding_round/altavo-seed--3e27dc3e,"Health Care, Manufacturing, Medical Device",HTGF | High-Tech Gruenderfonds,"HTGF | High-Tech Gruenderfonds, Saxonia Systems Holding GmbH, TGFS - Technologiegründerfonds Sachsen, TUDAG",,,,Seed,2022-01-27,,,,Altavo,https://www.crunchbase.com/organization/altavo,"Dresden, Sachsen, Germany, Europe",Altavo operates as a medical device startup.,https://www.altavo.eu/,Seed,2,5000000,EUR,5404950,Yes,Early Stage Venture,4
Seed Round - MixStage™,https://www.crunchbase.com/funding_round/mixstage-seed--ffc0a726,"Audio Recording and Production, Collaboration, Film Production, Gaming, Software",Halland Invest,"Flowervalley Ventures AB, Halland Invest, Ibexia AB, K2 Go invest AB",5487000,SEK,602400,Seed,2022-01-03,18290000,SEK,2008000,MixStage™,https://www.crunchbase.com/organization/mixstage,"Eldsberga, Hallands Lan, Sweden, Europe","SaaS, Professional Collaboration platform for Music, Film and Games",https://www.mixstage.io,Seed,1,5487000,SEK,602400,Yes,Seed,4
